skn,name,lat,lng,island
986.3,KALAHEO 1.1 SSE,21.9075,-159.5181,KA
986.2,Kalaheo,21.9183006,-159.5265,KA
986.1,Mcbryde Vty Sta,21.91853216,-159.5388722,KA
986,Kalaheo Fld Off,21.91686503,-159.5272052,KA
985.2,ELIMA RESV 985.2,21.93556,-159.53889,KA
985,BRYDESWOOD STA 985,21.92519845,-159.5338717,KA
983.1,Kalaheo,21.93991953,-159.5202593,KA
983,ALEXANDER RESV 983,21.95658562,-159.5255365,KA
982,Field 540,21.93908839,-159.5649839,KA
981,Field 370,21.92853385,-159.5722072,KA
966.4,Hanapepe,21.9365005,-159.5866,KA
966.2,Puulani,21.94075682,-159.5988756,KA
966.1,Camp 2 Makaweli,21.92881263,-159.5922088,KA
966,Field 360,21.93770144,-159.6038761,KA
965,MAKAWELI 965,21.91909048,-159.6272113,KA
962,Field 30-O Sugar,21.92742362,-159.6338781,KA
955,Aaka,21.96908915,-159.6105419,KA
954,Nonopahu 6,21.99964343,-159.6233195,KA
953.1,Camp 6 Makaweli,21.94520143,-159.6238771,KA
953,Kaawanui,21.9496457,-159.6255436,KA
952.2,Camp 8 Makaweli,21.97520015,-159.6288763,KA
952.1,Powerhse Camp 9,21.99019943,-159.6205418,KA
952,Nonopahu,21.97686671,-159.6313763,KA
951,Pakala,21.93322,-159.64745,KA
950.1,Camp 7 Makaweli,21.95520068,-159.648878,KA
950,Waikaia,21.96353374,-159.6488777,KA
947,WAIMEA 947,21.95631113,-159.6722122,KA
946.1,WAIMEA TANK AT WAIMEA,21.964722,-159.666944,KA
946,WAIMEA HTS,21.96638889,-159.6638889,KA
945.1,Pali Trail,21.97603297,-159.6672114,KA
945,HUKIPO 945,21.98158848,-159.6822116,KA
944,KEKAHA 944,21.96686688,-159.7088793,KA
943,WAIAWA 943,21.97186761,-159.7205458,KA
942,Kaunalewa,21.99186887,-159.7388783,KA
941.1,MAHAULEPU 941.1,21.90102957,-159.422207,KA
941,Mahaulepu,21.90853037,-159.42054,KA
940.3,POIPU,21.8828,-159.429,KA
940.2,KOLOA 2.1 SSE,21.8788,-159.4518,KA
940.1,MAKAHUENA POINT,21.86963645,-159.4444302,KA
940,PUUHI 940,21.8815823,-159.434152,KA
937,KOLOA MILL 937,21.89352966,-159.4438734,KA
936.3,Koloa (200),21.89686407,-159.4638729,KA
936.2,Koloa Field O,21.90853153,-159.4722054,KA
936.1,Field K-43,21.90686474,-159.4769277,KA
936,KOLOA 936,21.90686471,-159.4622057,KA
935.2,Koloa Landing,21.87852833,-159.4697071,KA
935.1,Paanau(Mcbryde),21.89186356,-159.4722063,KA
935,KUKUIULA 935,21.890544,-159.489633,KA
934.2,Lawai NTBG 0621,21.905295,-159.510395,KA
